Unit of measure;airpol;Air pollutants and greenhouse gases;src_crf;Source sectors for greenhouse gas emissions (Common reporting format, UNFCCC);TIME_PERIOD;Time;OBS_VALUE
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2012;;45.76473
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2013;;43.64814
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2014;;43.07892
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2015;;47.43171
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2016;;46.1981
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2017;;50.82465
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2018;;47.4555
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2019;;43.49517
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2020;;37.66231
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2021;;36.40113
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2022;;36.89061
Million tonnes;CO2;Carbon dioxide;CRF1;Energy;2023;;34.4059
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2004;;59.87595
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2005;;62.20459
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2006;;57.8889
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2007;;54.80752
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2008;;52.89696
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2009;;51.83832
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2010;;47.22176
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2011;;46.68673
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2012;;45.15767
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2013;;42.46453
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2014;;42.06328
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2015;;46.29238
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2016;;45.13236
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2017;;49.6805
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2018;;46.40766
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2019;;42.36194
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2020;;36.64954
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2021;;35.45631
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2022;;35.71598
Million tonnes;CO2;Carbon dioxide;CRF1A;Fuel combustion - sectoral approach;2023;;33.38235
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2004;;22.33082
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2005;;25.33809
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2006;;22.37008
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2007;;19.72599
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2008;;19.12421
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2009;;19.2689
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2010;;14.38223
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2011;;16.35482
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2012;;17.32385
Million tonnes;CO2;Carbon dioxide;CRF1A1;Fuel combustion in energy industries;2013;;15.11701
